,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
446,1287865,MEDICAL PROPERTIES TRUST INC,2015-01-07,fourth,million,lease,transactions,approximately,facility,total,closing,acquisitions,properties
447,1287865,MEDICAL PROPERTIES TRUST INC,2015-01-14,partnership,offering,company,mpt,operating,january,underwriting,agreement,common,stock
448,1287865,MEDICAL PROPERTIES TRUST INC,2015-02-12,million,december,quarter,properties,year,trust,ended,medical,gaap,operations
499,18349,SYNOVUS FINANCIAL CORP,2015-01-27,pursuant,synovus,supplemental,january,information,slide,act,presentation,press,release
500,18349,SYNOVUS FINANCIAL CORP,2015-02-20,target,officers,based,awards,award,risk,performance,compensation,committee,synovus
517,310142,SENSIENT TECHNOLOGIES CORP,2015-02-06,technologies,february,corporation,december,year,press,release,quarter,ended,exhibit
518,310142,SENSIENT TECHNOLOGIES CORP,2015-02-09,technologies,exchange,senior,company,directors,disclosure,officers,mr,february,act
539,33619,ESTERLINE TECHNOLOGIES CORP,2015-02-02,acquisition,esterline,technologies,corporation,laws,february,pursuant,equity,george,press
540,33619,ESTERLINE TECHNOLOGIES CORP,2015-03-05,press,technologies,esterline,march,release,corporation,results,george,financial,announcing
541,33619,ESTERLINE TECHNOLOGIES CORP,2015-03-12,esterline,repurchase,directors,votes,technologies,shareholders,march,meeting,mr,program
542,33619,ESTERLINE TECHNOLOGIES CORP,2015-03-23,amendment,esterline,facility,loan,credit,exchange,george,technologies,pursuant,act
558,350797,EATON VANCE CORP,2015-01-14,common,voting,january,meeting,corp,held,annual,stockholders,stock,vote
559,350797,EATON VANCE CORP,2015-01-30,january,agreement,exhibit,corp,service,agreements,registrant,certain,compensation,additional
560,350797,EATON VANCE CORP,2015-02-25,registrant,pursuant,report,release,exhibit,exchange,act,corp,february,dated
571,355811,GENTEX CORP,2015-01-28,opre,act,january,exchange,financial,corporation,securities,shall,registrant,release
644,46195,BANK OF HAWAII CORP,2015-01-26,quarter,act,pursuant,bank,corporation,exchange,january,mark,release,results
645,46195,BANK OF HAWAII CORP,2015-01-28,performance,awards,based,restricted,committee,company,stock,mark,january,plan
646,46195,BANK OF HAWAII CORP,2015-02-03,bank,market,january,vice,plans,stock,sale,plan,company,act
647,46195,BANK OF HAWAII CORP,2015-02-05,february,pursuant,mark,bank,sale,plans,act,corporation,company,exchange
657,52827,RAYONIER INC,2015-02-12,act,exchange,table,pursuant,february,opre,press,mark,financial,release
658,52827,RAYONIER INC,2015-03-02,table,forward,looking,changes,property,laws,statements,products,availability,development
659,52827,RAYONIER INC,2015-03-30,exchange,mark,march,meeting,shareholders,opre,act,table,pursuant,press
680,67215,DYCOM INDUSTRIES INC,2015-02-25,period,company,measures,materials,february,non,gaap,revenue,dycom,forward
681,67215,DYCOM INDUSTRIES INC,2015-02-25,industries,repurchase,february,looking,dycom,forward,statements,uncertainties,risks,future
682,67215,DYCOM INDUSTRIES INC,2015-02-27,gaap,non,measures,company,forward,february,revenue,conference,financial,period
683,67215,DYCOM INDUSTRIES INC,2015-03-03,industries,dycom,non,materials,measures,company,gaap,looking,forward,presentation
701,70145,NATIONAL FUEL GAS CO,2015-01-30,oil,gas,natural,company,changes,gaap,measures,looking,forward,costs
702,70145,NATIONAL FUEL GAS CO,2015-01-30,natural,company,gas,changes,oil,gaap,measures,presentation,january,looking
703,70145,NATIONAL FUEL GAS CO,2015-02-27,national,company,natural,program,performance,gas,capital,incentive,target,proxy
704,70145,NATIONAL FUEL GAS CO,2015-03-16,non,gas,vote,follows,national,broker,amendment,votes,compensation,company
705,70145,NATIONAL FUEL GAS CO,2015-03-23,gas,company,natural,changes,oil,measures,presentation,gaap,materials,looking
718,701811,MENTOR GRAPHICS CORP,2015-02-25,pursuant,directors,february,mr,board,officers,exchange,company,act,corporation
719,701811,MENTOR GRAPHICS CORP,2015-02-26,act,february,fiscal,registrant,corporation,exchange,pursuant,year,rule,quarter
720,701811,MENTOR GRAPHICS CORP,2015-03-05,pursuant,board,officers,directors,exchange,march,act,corporation,certain,registrant
787,706688,AARON'S INC,2015-02-06,million,charges,company,retirement,acquisition,related,gaap,adjusted,quarter,eps
788,706688,AARON'S INC,2015-02-25,meeting,annual,proxy,february,shareholder,georgia,company,exchange,bylaws,act
843,720672,STIFEL FINANCIAL CORP,2015-02-23,act,stifel,february,corp,exchange,exhibit,financial,pursuant,james,conference
844,720672,STIFEL FINANCIAL CORP,2015-02-24,stifel,investor,company,gaap,forward,looking,act,presentation,february,statements
845,720672,STIFEL FINANCIAL CORP,2015-02-27,statements,looking,corp,forward,transaction,february,act,report,stifel,regulatory
846,720672,STIFEL FINANCIAL CORP,2015-03-03,corp,registered,stifel,signature,public,independent,exhibit,march,exchange,james
847,720672,STIFEL FINANCIAL CORP,2015-03-18,forward,stifel,investor,looking,presentation,gaap,march,company,statements,act
880,73088,NORTHWESTERN CORP,2015-02-12,investor,february,presentation,northwestern,conference,press,act,release,shall,document
881,73088,NORTHWESTERN CORP,2015-02-18,target,board,northwestern,performance,program,award,agreement,company,shareholder,incentive
882,73088,NORTHWESTERN CORP,2015-03-17,act,presentation,exchange,slide,northwestern,march,document,securities,company,corporation
921,73756,OCEANEERING INTERNATIONAL INC,2015-02-11,exhibit,oceaneering,release,international,press,regarding,february,item,act,furnished
922,73756,OCEANEERING INTERNATIONAL INC,2015-02-23,restricted,program,oceaneering,award,performance,bonus,stock,committee,cash,awards
923,73756,OCEANEERING INTERNATIONAL INC,2015-02-23,forward,products,oil,oceaneering,looking,service,continue,price,acquisition,ebitda
924,73756,OCEANEERING INTERNATIONAL INC,2015-03-17,director,oceaneering,mr,agreement,board,award,reference,restricted,form,energy
925,73756,OCEANEERING INTERNATIONAL INC,2015-03-23,gas,looking,oil,oceaneering,acquisition,capital,cash,continue,statements,forward
955,74303,OLIN CORP,2015-01-23,act,january,olin,exchange,opre,release,exhibit,announcing,press,george
956,74303,OLIN CORP,2015-02-06,exchange,fourth,february,george,olin,opre,act,press,exhibit,release
957,74303,OLIN CORP,2015-02-11,exhibit,olin,opre,george,february,exchange,act,announcing,press,release
958,74303,OLIN CORP,2015-03-04,olin,march,act,exchange,opre,george,exhibit,press,release,announcing
959,74303,OLIN CORP,2015-03-05,act,exchange,olin,investors,march,opre,george,senior,exhibit,conference
960,74303,OLIN CORP,2015-03-16,march,meeting,exchange,presentation,cfr,george,act,securities,olin,exhibit
961,74303,OLIN CORP,2015-03-27,agreement,olin,merger,tdcc,spinco,transaction,march,debt,certain,business
1055,7536,ARROW ELECTRONICS INC,2015-01-02,act,exchange,january,pursuant,cfr,rule,report,communications,york,date
1056,7536,ARROW ELECTRONICS INC,2015-02-05,exchange,press,fourth,earnings,february,release,act,issued,hereto,exhibit
1057,7536,ARROW ELECTRONICS INC,2015-02-26,february,notes,indenture,underwriting,registrant,llp,bank,york,supplemental,agreement
1058,7536,ARROW ELECTRONICS INC,2015-03-04,act,release,exchange,press,march,pursuant,rule,company,cfr,exhibit
1074,799729,PAREXEL INTERNATIONAL CORP,2015-01-12,factors,results,quarter,forward,statements,company,december,looking,international,january
1075,799729,PAREXEL INTERNATIONAL CORP,2015-01-29,securities,exchange,report,rule,international,january,act,registrant,pursuant,cfr
1101,861361,B/E AEROSPACE INC,2015-01-29,january,act,results,exchange,financial,fiscal,press,year,december,ended
1119,861459,GRANITE CONSTRUCTION INC,2015-02-27,measures,gaap,income,non,company,loss,net,charges,ebitda,february
1138,887936,FTI CONSULTING INC,2015-01-20,consulting,fti,january,departure,officers,special,employment,pursuant,david,mr
1139,887936,FTI CONSULTING INC,2015-01-20,fti,consulting,january,employee,director,mr,non,compensation,plan,directors
1140,887936,FTI CONSULTING INC,2015-02-03,adjusted,consulting,fti,gaap,eps,charges,income,february,measures,net
1141,887936,FTI CONSULTING INC,2015-02-20,income,operating,adjusted,fti,segment,ebitda,charges,consulting,loss,gaap
1142,887936,FTI CONSULTING INC,2015-02-24,income,consulting,ebitda,loss,operating,charges,fti,segment,adjusted,gaap
1143,887936,FTI CONSULTING INC,2015-02-24,adjusted,ebitda,segment,consulting,fti,income,charges,gaap,loss,operating
1177,903127,POST PROPERTIES INC,2015-02-02,operating,loan,partnership,january,term,amendment,post,rate,management,cash
1178,903127,POST PROPERTIES INC,2015-02-06,georgia,earnings,supplemental,david,post,properties,financial,release,february,exchange
1205,910521,DECKERS OUTDOOR CORP,2015-01-21,consulting,mr,agreement,appointment,salary,company,entered,january,date,previously
1206,910521,DECKERS OUTDOOR CORP,2015-01-29,act,exchange,repurchase,january,press,release,program,exhibit,company,george
1207,910521,DECKERS OUTDOOR CORP,2015-03-16,officers,mr,march,act,george,release,exchange,press,securities,attached
1235,910606,REGENCY CENTERS CORP,2015-01-14,january,regency,florida,exchange,pursuant,centers,act,corporation,registrant,report
1236,910606,REGENCY CENTERS CORP,2015-01-14,centers,florida,exchange,january,pursuant,regency,act,report,securities,corporation
1237,910606,REGENCY CENTERS CORP,2015-01-14,corporation,florida,january,pursuant,centers,registrant,act,regency,exchange,report
1238,910606,REGENCY CENTERS CORP,2015-01-16,agreement,forward,regency,offering,sale,january,underwriting,centers,agreements,company
1239,910606,REGENCY CENTERS CORP,2015-02-11,december,regency,february,year,centers,months,ended,florida,website,act
1265,921112,LIBERTY PROPERTY TRUST,2015-02-03,liberty,property,february,george,exhibit,title,trust,report,partnership,financial
1266,921112,LIBERTY PROPERTY TRUST,2015-03-20,plan,award,portion,performance,period,liberty,property,awards,second,year
1267,921112,LIBERTY PROPERTY TRUST,2015-03-23,partnership,llc,indenture,trust,notes,limited,liberty,underwriting,property,march
1316,936395,CIENA CORP,2015-03-05,ciena,january,exchange,results,quarter,march,act,corporation,investor,ended
1317,936395,CIENA CORP,2015-03-16,million,notes,ciena,approximately,exchange,outstanding,march,company,result,david
1318,936395,CIENA CORP,2015-03-30,stockholders,annual,vote,proposal,votes,meeting,ciena,directors,registered,march
1347,936528,WASHINGTON FEDERAL INC,2015-01-20,copy,january,washington,attached,december,exchange,act,applicable,federal,financial
1348,936528,WASHINGTON FEDERAL INC,2015-01-26,vote,votes,january,washington,federal,llp,total,exchange,act,shareholders
1365,945394,HOSPITALITY PROPERTIES TRUST,2015-02-27,february,trust,properties,supplemental,financial,operating,exchange,act,quarter,mark
1410,945764,DENBURY RESOURCES INC,2015-01-15,awards,performance,target,mr,incentive,shares,based,equity,committee,stock
1411,945764,DENBURY RESOURCES INC,2015-01-29,rule,pursuant,exchange,registrant,report,cfr,act,denbury,resources,january
1412,945764,DENBURY RESOURCES INC,2015-02-19,resources,james,february,denbury,press,exchange,act,release,financial,exhibit
1413,945764,DENBURY RESOURCES INC,2015-03-26,committee,directors,march,mr,meeting,denbury,resources,board,annual,director
1451,945841,POOL CORP,2015-02-12,mark,february,release,issued,pursuant,corporation,act,exchange,fiscal,registrant
1452,945841,POOL CORP,2015-03-02,exchange,corporation,mark,pursuant,march,rule,act,registrant,cfr,issued
1484,1018003,INGRAM MICRO INC,2015-04-16,program,amendment,agreement,ingram,micro,time,april,thereto,pursuant,terms
1485,1018003,INGRAM MICRO INC,2015-05-04,gaap,measures,ingram,micro,non,related,exchange,financial,act,press
1486,1018003,INGRAM MICRO INC,2015-06-04,micro,meeting,broker,ingram,votes,shareholders,company,june,exchange,annual
1515,1025996,KILROY REALTY CORP,2015-04-29,exchange,act,supplemental,corporation,information,realty,april,kilroy,furnished,quarter
1516,1025996,KILROY REALTY CORP,2015-05-21,meeting,realty,plan,kilroy,annual,company,broker,proposal,stockholders,restated
1517,1025996,KILROY REALTY CORP,2015-06-30,kilroy,corporation,approximately,june,realty,closing,act,exchange,acquisition,expected
1524,103730,VISHAY INTERTECHNOLOGY INC,2015-05-05,shares,vishay,eps,conversion,debentures,diluted,average,stock,convertible,price
1525,103730,VISHAY INTERTECHNOLOGY INC,2015-05-19,common,voting,vishay,stock,votes,stockholders,total,meeting,broker,lori
1526,103730,VISHAY INTERTECHNOLOGY INC,2015-06-09,conversion,convertible,debentures,vishay,effective,rate,price,lori,senior,june
1550,1038074,SILICON LABORATORIES INC,2015-04-27,proposal,laboratories,broker,silicon,votes,non,pursuant,vote,april,exchange
1551,1038074,SILICON LABORATORIES INC,2015-04-29,measures,results,financial,april,gaap,laboratories,silicon,non,information,press
1564,1056696,MANHATTAN ASSOCIATES INC,2015-04-21,income,operating,adjusted,measures,net,gaap,share,compensation,costs,equity
1565,1056696,MANHATTAN ASSOCIATES INC,2015-05-19,non,votes,georgia,annual,shareholders,meeting,broker,company,director,vote
1566,1056696,MANHATTAN ASSOCIATES INC,2015-06-12,act,georgia,exchange,pursuant,rule,communications,securities,cfr,report,registrant
1601,1062449,BUFFALO WILD WINGS INC,2015-04-09,ability,looking,factors,llc,acquisition,statements,limited,forward,proposed,new
1602,1062449,BUFFALO WILD WINGS INC,2015-04-28,press,april,release,pursuant,cfr,furnished,act,registrant,rule,exchange
1603,1062449,BUFFALO WILD WINGS INC,2015-05-11,shareholders,annual,based,directors,meeting,vote,proposal,exchange,act,matters
1604,1062449,BUFFALO WILD WINGS INC,2015-06-11,looking,ability,llc,forward,proposed,acquisition,new,statements,factors,june
1638,1077771,UMPQUA HOLDINGS CORP,2015-04-15,april,act,holdings,quarter,release,exchange,corporation,investor,press,financial
1639,1077771,UMPQUA HOLDINGS CORP,2015-04-17,holdings,corporation,proposal,officers,meeting,directors,votes,april,annual,exchange
1640,1077771,UMPQUA HOLDINGS CORP,2015-04-22,credit,exchange,chief,officers,officer,april,holdings,mr,pursuant,act
1641,1077771,UMPQUA HOLDINGS CORP,2015-05-11,presentation,holdings,investor,act,conference,exchange,number,rule,registrant,pursuant
1642,1077771,UMPQUA HOLDINGS CORP,2015-06-05,corporation,act,holdings,june,exchange,officers,certain,registrant,directors,pursuant
1643,1077771,UMPQUA HOLDINGS CORP,2015-06-15,act,pursuant,exchange,june,holdings,corporation,registrant,cfr,rule,payable
1644,1077771,UMPQUA HOLDINGS CORP,2015-06-19,act,federal,relations,exchange,results,holdings,shall,investor,companies,corporation
1645,1077771,UMPQUA HOLDINGS CORP,2015-06-29,earnings,holdings,quarterly,june,exchange,conference,act,announcing,corporation,registrant
1673,1128928,FLOWERS FOODS INC,2015-05-28,flowers,press,release,pursuant,condition,financial,act,rule,exchange,cfr
1674,1128928,FLOWERS FOODS INC,2015-06-10,june,votes,flowers,bylaws,restated,broker,amended,vote,proposal,company
1691,1143068,GREAT PLAINS ENERGY INC,2015-05-07,energy,gmo,kcp,kansas,city,missouri,great,plains,lori,information
1692,1143068,GREAT PLAINS ENERGY INC,2015-06-01,energy,kcp,kansas,city,plains,great,gmo,missouri,lori,investor
1693,1143068,GREAT PLAINS ENERGY INC,2015-06-18,energy,kcp,kansas,city,plains,great,gmo,missouri,lori,investor
1727,1179929,MOLINA HEALTHCARE INC,2015-05-07,results,march,release,healthcare,exchange,press,act,molina,ended,quarter
1728,1179929,MOLINA HEALTHCARE INC,2015-05-13,proposal,broker,follows,molina,company,meeting,votes,stockholders,healthcare,awards
1729,1179929,MOLINA HEALTHCARE INC,2015-05-15,act,molina,healthcare,businesses,exchange,joint,definitive,assets,agreement,pursuant
1730,1179929,MOLINA HEALTHCARE INC,2015-06-01,molina,healthcare,june,exchange,release,press,act,fiscal,securities,year
1731,1179929,MOLINA HEALTHCARE INC,2015-06-01,offering,healthcare,june,molina,common,stock,act,exchange,press,release
1732,1179929,MOLINA HEALTHCARE INC,2015-06-05,june,agreement,underwriting,offering,molina,healthcare,common,stock,company,public
1733,1179929,MOLINA HEALTHCARE INC,2015-06-16,molina,credit,agreement,rate,bank,ratio,company,lenders,time,facility
1750,1265888,NEUSTAR INC,2015-04-03,neustar,act,exchange,april,report,non,shall,company,pursuant,form
1751,1265888,NEUSTAR INC,2015-04-07,report,company,filing,april,neustar,sec,act,exchange,agreement,terms
1752,1265888,NEUSTAR INC,2015-04-08,services,neustar,prior,termination,april,llc,amendment,price,management,company
1753,1265888,NEUSTAR INC,2015-04-29,neustar,april,report,press,results,reference,act,release,financial,exchange
1754,1265888,NEUSTAR INC,2015-06-02,restated,votes,vote,broker,neustar,non,stockholders,directors,act,exchange
1761,1287865,MEDICAL PROPERTIES TRUST INC,2015-05-05,partnership,million,steven,mpt,purchase,lease,closing,price,subsidiaries,medical
1762,1287865,MEDICAL PROPERTIES TRUST INC,2015-05-07,trust,march,operations,gaap,financial,quarter,ended,properties,million,medical
1763,1287865,MEDICAL PROPERTIES TRUST INC,2015-05-14,votes,proposal,steven,medical,broker,non,number,properties,forth,director
1764,1287865,MEDICAL PROPERTIES TRUST INC,2015-06-26,medical,bylaws,amendment,properties,board,company,second,trust,amendments,directors
1801,18349,SYNOVUS FINANCIAL CORP,2015-04-21,april,slide,information,supplemental,synovus,pursuant,act,presentation,press,release
1802,18349,SYNOVUS FINANCIAL CORP,2015-04-29,broker,proposal,april,vote,votes,synovus,shareholders,georgia,non,corp
1803,18349,SYNOVUS FINANCIAL CORP,2015-06-19,act,synovus,corp,pursuant,exchange,june,information,relations,georgia,website
1819,310142,SENSIENT TECHNOLOGIES CORP,2015-04-21,technologies,corporation,april,march,ended,press,exhibit,release,quarter,exchange
1820,310142,SENSIENT TECHNOLOGIES CORP,2015-04-28,broker,directors,shares,votes,technologies,shareholders,april,board,approved,company
1821,310142,SENSIENT TECHNOLOGIES CORP,2015-05-07,corporation,exchange,pursuant,report,press,release,act,technologies,exhibit,registrant
1826,33619,ESTERLINE TECHNOLOGIES CORP,2015-04-08,credit,notes,indenture,april,subsidiaries,subsidiary,ta,company,certain,debt
1827,33619,ESTERLINE TECHNOLOGIES CORP,2015-04-13,loan,facility,credit,term,amendment,revolving,thereto,lenders,esterline,technologies
1828,33619,ESTERLINE TECHNOLOGIES CORP,2015-04-15,technologies,non,certain,operations,financial,esterline,pursuant,business,george,act
1829,33619,ESTERLINE TECHNOLOGIES CORP,2015-06-04,esterline,technologies,june,financial,supplemental,press,release,corporation,results,information
1830,33619,ESTERLINE TECHNOLOGIES CORP,2015-06-18,technologies,esterline,june,corporation,george,act,exchange,pursuant,press,dated
1839,350797,EATON VANCE CORP,2015-05-20,registrant,exchange,exhibit,pursuant,corp,dated,act,release,report,securities
1853,355811,GENTEX CORP,2015-04-22,registrant,act,financial,shall,april,exchange,corporation,opre,securities,release
1855,355811,GENTEX CORP,2015-05-21,act,presentation,corporation,exchange,registrant,pursuant,report,fd,rule,cfr
1856,355811,GENTEX CORP,2015-05-27,second,broker,shareholders,non,votes,proposal,stock,amendment,company,restricted
1857,355811,GENTEX CORP,2015-06-22,june,company,effective,exchange,mr,october,receive,agreement,addition,stock
1886,46195,BANK OF HAWAII CORP,2015-04-20,results,corporation,mark,bank,april,quarter,act,release,exchange,pursuant
1887,46195,BANK OF HAWAII CORP,2015-04-28,votes,mark,election,vote,non,april,bank,directors,act,exchange
1888,46195,BANK OF HAWAII CORP,2015-06-26,act,bank,federal,june,website,mark,board,securities,pursuant,exchange
1910,52827,RAYONIER INC,2015-05-06,press,opre,pursuant,table,release,exchange,act,exhibit,securities,furnished
1911,52827,RAYONIER INC,2015-05-07,average,table,opre,mark,pursuant,year,prior,period,exchange,act
1912,52827,RAYONIER INC,2015-05-19,opre,meeting,table,votes,annual,broker,mark,vote,security,named
1914,52827,RAYONIER INC,2015-06-16,june,table,time,mark,repurchase,exchange,act,exhibit,opre,pursuant
1927,67215,DYCOM INDUSTRIES INC,2015-04-27,bank,amendment,dycom,agent,ratio,margin,rate,credit,agreement,administrative
1928,67215,DYCOM INDUSTRIES INC,2015-05-20,non,company,measures,gaap,materials,revenue,forward,results,release,press
1929,67215,DYCOM INDUSTRIES INC,2015-05-22,measures,gaap,non,conference,forward,revenue,company,financial,period,dycom
1930,67215,DYCOM INDUSTRIES INC,2015-06-04,gaap,looking,industries,non,measures,materials,dycom,company,forward,presentation
1946,70145,NATIONAL FUEL GAS CO,2015-04-30,changes,company,natural,oil,gas,presentation,forward,gaap,measures,looking
1947,70145,NATIONAL FUEL GAS CO,2015-05-01,natural,gaap,measures,company,changes,oil,gas,looking,forward,costs
1948,70145,NATIONAL FUEL GAS CO,2015-06-12,directors,company,gas,employee,mr,director,board,new,june,report
1949,70145,NATIONAL FUEL GAS CO,2015-06-25,june,llp,llc,notes,included,fargo,charges,gas,wells,underwriting
1971,701811,MENTOR GRAPHICS CORP,2015-04-09,pursuant,april,officers,registrant,corporation,certain,act,exchange,directors,rule
1972,701811,MENTOR GRAPHICS CORP,2015-05-22,quarter,pursuant,registrant,cfr,corporation,securities,act,exchange,rule,results
1973,701811,MENTOR GRAPHICS CORP,2015-06-22,proposal,vote,voting,june,election,follows,pursuant,directors,votes,exchange
1983,706688,AARON'S INC,2015-04-24,release,april,press,earnings,gaap,measures,financial,net,company,segment
1984,706688,AARON'S INC,2015-05-08,meeting,incentive,plan,annual,equity,proposal,votes,shareholders,company,georgia
2008,720672,STIFEL FINANCIAL CORP,2015-05-11,james,financial,pursuant,exhibit,exchange,corp,act,stifel,conference,securities
2009,720672,STIFEL FINANCIAL CORP,2015-05-12,gaap,forward,company,investor,looking,presentation,stifel,statements,act,measures
2010,720672,STIFEL FINANCIAL CORP,2015-06-03,stifel,statements,forward,looking,company,corp,exchange,act,june,time
2011,720672,STIFEL FINANCIAL CORP,2015-06-08,forward,june,looking,stifel,statements,act,presentation,factors,events,laws
2012,720672,STIFEL FINANCIAL CORP,2015-06-10,forward,transaction,stifel,common,acquisition,june,looking,company,stock,statements
2013,720672,STIFEL FINANCIAL CORP,2015-06-16,june,prospectus,llp,registration,stifel,exhibit,exchange,corp,act,company
2035,73088,NORTHWESTERN CORP,2015-04-23,investor,presentation,april,meeting,annual,act,company,com,www,northwestern
2036,73088,NORTHWESTERN CORP,2015-04-27,presentation,northwestern,exchange,document,slide,april,act,securities,company,corporation
2037,73088,NORTHWESTERN CORP,2015-04-29,votes,northwestern,meeting,annual,directors,vote,follows,april,registered,stockholders
2038,73088,NORTHWESTERN CORP,2015-05-18,presentation,northwestern,slide,act,securities,corporation,exchange,document,company,amended
2039,73088,NORTHWESTERN CORP,2015-06-29,northwestern,trustees,june,supplemental,indenture,company,york,act,bank,registration
2044,73756,OCEANEERING INTERNATIONAL INC,2015-04-23,oceaneering,exhibit,item,press,international,release,act,april,regarding,furnished
2045,73756,OCEANEERING INTERNATIONAL INC,2015-05-11,director,international,oceaneering,voting,votes,broker,matters,non,forth,shareholders
2046,73756,OCEANEERING INTERNATIONAL INC,2015-05-29,forward,statements,oil,oceaneering,services,looking,market,capital,continue,gas
2047,73756,OCEANEERING INTERNATIONAL INC,2015-06-30,continue,oceaneering,looking,forward,oil,capital,million,future,statements,act
2076,74303,OLIN CORP,2015-04-16,april,investors,olin,act,opre,exchange,george,conference,exhibit,senior
2077,74303,OLIN CORP,2015-04-23,april,olin,act,exchange,exhibit,george,opre,announcing,press,release
2078,74303,OLIN CORP,2015-04-27,olin,april,act,exchange,opre,exhibit,george,quarter,press,release
2079,74303,OLIN CORP,2015-04-29,olin,vote,proposal,april,exchange,george,act,meeting,compensation,shares
2080,74303,OLIN CORP,2015-04-29,administrative,sec,credit,proxy,tdcc,solicitation,olin,agreement,agent,spinco
2081,74303,OLIN CORP,2015-06-16,tdcc,olin,spinco,sec,proposed,products,merger,solicitation,transaction,proxy
2082,74303,OLIN CORP,2015-06-24,looking,sec,proxy,tdcc,transaction,proposed,spinco,products,olin,solicitation
2083,74303,OLIN CORP,2015-06-29,credit,agreement,thereto,spinco,tdcc,olin,amendment,merger,agent,june
2112,7536,ARROW ELECTRONICS INC,2015-04-01,act,release,exchange,march,press,registrant,pursuant,cfr,rule,exhibit
2113,7536,ARROW ELECTRONICS INC,2015-04-30,april,earnings,release,press,act,exchange,hereto,exhibit,issued,quarter
2114,7536,ARROW ELECTRONICS INC,2015-05-27,proposal,voting,shares,broker,shareholders,meeting,votes,vote,proxy,company
2122,799729,PAREXEL INTERNATIONAL CORP,2015-04-14,international,april,rule,exchange,report,cfr,act,pursuant,registrant,corporation
2123,799729,PAREXEL INTERNATIONAL CORP,2015-04-30,act,exchange,april,international,bank,corporation,report,pursuant,securities,financial
