,CIK,Company Name,Date Filed,0,1,2,3,4,5,6,7,8,9
294,1128928,FLOWERS FOODS INC,2015-02-12,operations,financial,press,condition,inc,release,february,exhibit,georgia,guidance
295,1128928,FLOWERS FOODS INC,2015-02-25,press,officers,inc,february,release,directors,retirement,georgia,description,departure
340,1143068,GREAT PLAINS ENERGY INC,2015-01-02,city,factors,energy,not,but,limited,effects,missouri,costs,looking
341,1143068,GREAT PLAINS ENERGY INC,2015-02-17,energy,performance,missouri,mr,city,awards,incentive,salary,officers,base
342,1143068,GREAT PLAINS ENERGY INC,2015-02-25,energy,press,information,furnished,lori,release,city,february,missouri,operations
343,1143068,GREAT PLAINS ENERGY INC,2015-03-18,presentation,city,missouri,information,energy,furnished,not,relating,investor,respect
344,1143068,GREAT PLAINS ENERGY INC,2015-03-30,lori,information,energy,not,furnished,investor,missouri,presentation,city,relating
388,1179929,MOLINA HEALTHCARE INC,2015-01-13,slide,presentation,healthcare,company,conference,january,annual,connection,will,at
389,1179929,MOLINA HEALTHCARE INC,2015-02-09,fourth,healthcare,february,press,release,december,inc,results,year,ended
390,1179929,MOLINA HEALTHCARE INC,2015-02-12,presentation,slide,investor,inc,part,healthcare,company,february,conference,at
419,1265888,NEUSTAR INC,2015-02-03,february,release,adjusted,earnings,financial,fourth,call,press,results,income
420,1265888,NEUSTAR INC,2015-03-04,update,regarding,officer,release,dated,press,march,attached,federal,current
421,1265888,NEUSTAR INC,2015-03-26,announcing,release,program,march,guidance,share,press,adjusted,call,income
446,1287865,MEDICAL PROPERTIES TRUST INC,2015-01-07,fourth,our,facility,approximately,we,million,transactions,total,with,closing
447,1287865,MEDICAL PROPERTIES TRUST INC,2015-01-14,steven,agreement,offering,operating,january,partnership,common,company,stock,llp
448,1287865,MEDICAL PROPERTIES TRUST INC,2015-02-12,gaap,ended,million,year,trust,properties,december,quarter,operations,financial
499,18349,SYNOVUS FINANCIAL CORP,2015-01-27,supplemental,slide,information,january,presentation,exhibit,into,press,release,corp
500,18349,SYNOVUS FINANCIAL CORP,2015-02-20,performance,committee,awards,based,compensation,risk,target,award,officers,named
517,310142,SENSIENT TECHNOLOGIES CORP,2015-02-06,technologies,press,february,year,december,john,ended,corporation,exhibit,release
518,310142,SENSIENT TECHNOLOGIES CORP,2015-02-09,technologies,mr,officers,senior,february,john,disclosure,company,directors,there
539,33619,ESTERLINE TECHNOLOGIES CORP,2015-02-02,corporation,february,laws,technologies,acquisition,with,george,press,equity,subsidiaries
540,33619,ESTERLINE TECHNOLOGIES CORP,2015-03-05,financial,technologies,corporation,march,george,press,results,release,announcing,issued
541,33619,ESTERLINE TECHNOLOGIES CORP,2015-03-12,directors,march,shareholders,technologies,votes,meeting,annual,program,board,mr
542,33619,ESTERLINE TECHNOLOGIES CORP,2015-03-23,loan,credit,our,amendment,facility,technologies,george,term,amended,not
558,350797,EATON VANCE CORP,2015-01-14,meeting,january,voting,annual,common,stockholders,corp,held,stock,vote
559,350797,EATON VANCE CORP,2015-01-30,additional,service,exhibit,compensation,january,agreements,agreement,certain,corp,connection
560,350797,EATON VANCE CORP,2015-02-25,release,corp,february,exhibit,dated,table,index,international,operations,financial
571,355811,GENTEX CORP,2015-01-28,deemed,january,opre,steven,release,financial,shall,corporation,exhibit,attached
644,46195,BANK OF HAWAII CORP,2015-01-26,bank,january,corporation,mark,results,release,furnished,operations,quarter,fourth
645,46195,BANK OF HAWAII CORP,2015-01-28,committee,mark,stock,performance,based,restricted,company,awards,january,plan
646,46195,BANK OF HAWAII CORP,2015-02-03,stock,sale,their,plan,plans,company,market,bank,january,vice
647,46195,BANK OF HAWAII CORP,2015-02-05,plans,corporation,shares,february,sale,company,bank,mark,corporate,stock
657,52827,RAYONIER INC,2015-02-12,press,financial,opre,inc,table,mark,furnished,release,february,herewith
658,52827,RAYONIER INC,2015-03-02,statements,products,property,our,laws,looking,table,we,forward,changes
659,52827,RAYONIER INC,2015-03-30,march,mark,table,opre,meeting,inc,shareholders,press,release,annual
680,67215,DYCOM INDUSTRIES INC,2015-02-25,revenue,materials,gaap,forward,company,february,non,measures,these,not
681,67215,DYCOM INDUSTRIES INC,2015-02-25,reports,future,statements,our,february,uncertainties,are,risks,looking,forward
682,67215,DYCOM INDUSTRIES INC,2015-02-27,gaap,non,company,measures,these,revenue,conference,call,webcast,forward
683,67215,DYCOM INDUSTRIES INC,2015-03-03,looking,materials,these,measures,company,non,gaap,forward,presentation,not
701,70145,NATIONAL FUEL GAS CO,2015-01-30,company,gaap,for,changes,looking,measures,forward,costs,effect,national
702,70145,NATIONAL FUEL GAS CO,2015-01-30,for,gaap,changes,presentation,company,measures,january,looking,costs,forward
703,70145,NATIONAL FUEL GAS CO,2015-02-27,group,performance,national,company,program,capital,incentive,target,proxy,period
704,70145,NATIONAL FUEL GAS CO,2015-03-16,broker,vote,votes,amendment,follows,company,compensation,national,non,was
705,70145,NATIONAL FUEL GAS CO,2015-03-23,materials,gaap,presentation,forward,changes,company,for,looking,measures,costs
718,701811,MENTOR GRAPHICS CORP,2015-02-25,directors,board,officers,his,february,mr,company,corporation,certain,service
719,701811,MENTOR GRAPHICS CORP,2015-02-26,fiscal,full,corporation,year,february,quarter,fourth,results,first,former
720,701811,MENTOR GRAPHICS CORP,2015-03-05,corporation,board,officers,directors,march,certain,elected,committee,serve,mr
787,706688,AARON'S INC,2015-02-06,million,acquisition,retirement,related,company,during,gaap,adjusted,quarter,regulatory
788,706688,AARON'S INC,2015-02-25,proxy,february,annual,accordance,georgia,company,meeting,at,with,shareholder
843,720672,STIFEL FINANCIAL CORP,2015-02-23,february,financial,corp,call,exhibit,james,conference,through,shall,will
844,720672,STIFEL FINANCIAL CORP,2015-02-24,presentation,forward,investor,looking,gaap,statements,february,company,measures,are
845,720672,STIFEL FINANCIAL CORP,2015-02-27,looking,forward,february,approvals,transaction,statements,that,corp,regulatory,are
846,720672,STIFEL FINANCIAL CORP,2015-03-03,public,independent,registered,exhibit,signature,corp,was,march,james,accounting
847,720672,STIFEL FINANCIAL CORP,2015-03-18,march,company,forward,statements,gaap,looking,investor,presentation,measures,are
880,73088,NORTHWESTERN CORP,2015-02-12,investor,february,shall,release,press,presentation,conference,webcast,call,document
881,73088,NORTHWESTERN CORP,2015-02-18,target,program,award,board,performance,agreement,company,shareholder,incentive,total
882,73088,NORTHWESTERN CORP,2015-03-17,march,corporation,company,slide,presentation,document,investors,amended,will,herewith
921,73756,OCEANEERING INTERNATIONAL INC,2015-02-11,february,press,regarding,inc,release,international,exhibit,dividend,furnished,therein
922,73756,OCEANEERING INTERNATIONAL INC,2015-02-23,for,cash,restricted,stock,program,committee,performance,award,awards,compensation
923,73756,OCEANEERING INTERNATIONAL INC,2015-02-23,products,continue,that,looking,service,our,forward,price,we,will
924,73756,OCEANEERING INTERNATIONAL INC,2015-03-17,reference,award,restricted,director,mr,board,agreement,energy,an,incorporated
925,73756,OCEANEERING INTERNATIONAL INC,2015-03-23,that,we,capital,our,forward,for,continue,statements,looking,will
955,74303,OLIN CORP,2015-01-23,george,exhibit,january,announcing,dividend,olin,opre,press,dated,release
956,74303,OLIN CORP,2015-02-06,february,george,fourth,opre,olin,press,quarter,release,exhibit,corporation
957,74303,OLIN CORP,2015-02-11,olin,opre,february,george,press,at,announcing,exhibit,release,dated
958,74303,OLIN CORP,2015-03-04,exhibit,march,george,announcing,release,opre,press,olin,that,dated
959,74303,OLIN CORP,2015-03-05,march,investors,olin,opre,at,conference,exhibit,george,senior,will
960,74303,OLIN CORP,2015-03-16,deemed,olin,meeting,exhibit,presentation,march,city,george,shall,general
961,74303,OLIN CORP,2015-03-27,olin,with,will,agreement,transaction,march,debt,certain,that,business
1055,7536,ARROW ELECTRONICS INC,2015-01-02,commissionfile,company,york,inc,former,january,jurisdictionof,employeridentification,street,new
1056,7536,ARROW ELECTRONICS INC,2015-02-05,release,fourth,february,earnings,issued,press,hereto,exhibit,inc,quarter
1057,7536,ARROW ELECTRONICS INC,2015-02-26,bank,february,notes,supplemental,llp,with,between,trustee,york,agreement
1058,7536,ARROW ELECTRONICS INC,2015-03-04,march,press,inc,release,exhibit,company,york,former,definitive,dated
1074,799729,PAREXEL INTERNATIONAL CORP,2015-01-12,looking,company,forward,results,december,factors,for,international,statements,quarter
1075,799729,PAREXEL INTERNATIONAL CORP,2015-01-29,corporation,shall,for,deemed,january,exhibit,international,financial,press,results
1101,861361,B/E AEROSPACE INC,2015-01-29,press,january,fiscal,december,financial,inc,results,ended,release,year
1119,861459,GRANITE CONSTRUCTION INC,2015-02-27,measures,gaap,company,loss,net,income,non,ebitda,february,are
1138,887936,FTI CONSULTING INC,2015-01-20,will,january,employment,departure,his,special,officers,mr,inc,david
1139,887936,FTI CONSULTING INC,2015-01-20,mr,compensation,employee,january,director,plan,non,directors,board,inc
1140,887936,FTI CONSULTING INC,2015-02-03,measures,press,net,income,gaap,february,adjusted,inc,release,non
1141,887936,FTI CONSULTING INC,2015-02-20,loss,consideration,operating,income,gaap,adjusted,measures,ebitda,special,contingent
1142,887936,FTI CONSULTING INC,2015-02-24,ebitda,operating,income,adjusted,loss,gaap,measures,special,consideration,contingent
1143,887936,FTI CONSULTING INC,2015-02-24,adjusted,gaap,operating,income,ebitda,loss,measures,total,presentation,performance
1177,903127,POST PROPERTIES INC,2015-02-02,rate,term,operating,amendment,partnership,january,loan,management,cash,credit
1178,903127,POST PROPERTIES INC,2015-02-06,georgia,david,supplemental,release,quarterly,earnings,financial,february,properties,inc
1205,910521,DECKERS OUTDOOR CORP,2015-01-21,company,january,appointment,his,mr,agreement,will,with,entered,salary
1206,910521,DECKERS OUTDOOR CORP,2015-01-29,release,january,press,program,exhibit,company,george,corporation,financial,shall
1207,910521,DECKERS OUTDOOR CORP,2015-03-16,george,attached,officers,his,press,release,mr,march,company,corporation
1235,910606,REGENCY CENTERS CORP,2015-01-14,florida,january,issued,corporation,release,press,herein,financial,results,treasurer
1236,910606,REGENCY CENTERS CORP,2015-01-14,corporation,january,release,florida,press,offering,an,llc,plans,entry
1237,910606,REGENCY CENTERS CORP,2015-01-14,january,corporation,release,florida,press,guidance,former,treasurer,independent,exhibit
1238,910606,REGENCY CENTERS CORP,2015-01-16,forward,sale,offering,agreements,january,agreement,company,therein,common,stock
1239,910606,REGENCY CENTERS CORP,2015-02-11,months,february,ended,year,three,december,florida,website,supplemental,earnings
1265,921112,LIBERTY PROPERTY TRUST,2015-02-03,property,february,george,trust,exhibit,limited,partnership,financial,title,press
1266,921112,LIBERTY PROPERTY TRUST,2015-03-20,award,portion,period,plan,performance,property,second,year,awards,incentive
1267,921112,LIBERTY PROPERTY TRUST,2015-03-23,partnership,notes,limited,property,trust,supplemental,george,global,march,llc
1316,936395,CIENA CORP,2015-03-05,results,quarter,ended,march,investor,first,corporation,january,call,david
1317,936395,CIENA CORP,2015-03-16,notes,approximately,outstanding,company,march,result,million,david,aggregate,corporation
1318,936395,CIENA CORP,2015-03-30,annual,directors,votes,were,vote,meeting,proposal,stockholders,was,march
1347,936528,WASHINGTON FEDERAL INC,2015-01-20,december,january,financial,about,applicable,federal,washington,attached,not,copy
1348,936528,WASHINGTON FEDERAL INC,2015-01-26,washington,federal,llp,vote,votes,january,three,total,shareholders,term
1365,945394,HOSPITALITY PROPERTIES TRUST,2015-02-27,february,properties,supplemental,trust,financial,december,press,operating,quarter,mark
1410,945764,DENBURY RESOURCES INC,2015-01-15,target,incentive,performance,mr,awards,based,shares,equity,committee,stock
1411,945764,DENBURY RESOURCES INC,2015-01-29,january,inc,resources,dividend,payable,quarterly,former,shareholders,thesecurities,february
1412,945764,DENBURY RESOURCES INC,2015-02-19,release,press,james,february,resources,financial,inc,furnished,exhibit,not
1413,945764,DENBURY RESOURCES INC,2015-03-26,mr,committee,board,resources,meeting,directors,two,annual,his,march
1451,945841,POOL CORP,2015-02-12,february,corporation,fiscal,guidance,mark,should,press,release,issued,results
1452,945841,POOL CORP,2015-03-02,dividend,issued,mark,march,corporation,press,obligations,release,quarterly,exhibits
1484,1018003,INGRAM MICRO INC,2015-04-16,april,inc,program,amendment,agreement,thereto,terms,time,an,party
1485,1018003,INGRAM MICRO INC,2015-05-04,gaap,these,financial,press,related,may,measures,with,results,non
1486,1018003,INGRAM MICRO INC,2015-06-04,shareholders,broker,june,votes,against,company,meeting,annual,opre,non
1515,1025996,KILROY REALTY CORP,2015-04-29,corporation,information,supplemental,quarter,furnished,april,for,deemed,shall,march
1516,1025996,KILROY REALTY CORP,2015-05-21,restated,plan,company,meeting,proposal,broker,annual,stockholders,against,officers
1517,1025996,KILROY REALTY CORP,2015-06-30,we,corporation,june,closing,an,will,acquisition,expected,approximately,million
1524,103730,VISHAY INTERTECHNOLOGY INC,2015-05-05,stock,shares,diluted,price,common,per,earnings,share,amount,market
1525,103730,VISHAY INTERTECHNOLOGY INC,2015-05-19,stock,voting,common,class,votes,total,stockholders,dividend,broker,meeting
1526,103730,VISHAY INTERTECHNOLOGY INC,2015-06-09,june,price,lori,senior,due,rate,effective,dividend,each,adjusted
1550,1038074,SILICON LABORATORIES INC,2015-04-27,votes,proposal,broker,non,april,john,vote,matters,meeting,against
1551,1038074,SILICON LABORATORIES INC,2015-04-29,information,release,april,gaap,financial,results,press,measures,non,inc
1564,1056696,MANHATTAN ASSOCIATES INC,2015-04-21,adjusted,income,net,operating,our,we,measures,gaap,compensation,per
1565,1056696,MANHATTAN ASSOCIATES INC,2015-05-19,votes,georgia,class,shareholders,broker,company,meeting,annual,non,vote
1566,1056696,MANHATTAN ASSOCIATES INC,2015-06-12,commissionfile,washington,employeridentification,states,dc,june,inc,former,georgia,changed
1601,1062449,BUFFALO WILD WINGS INC,2015-04-09,forward,ability,looking,our,we,acquisition,llc,proposed,factors,statements
1602,1062449,BUFFALO WILD WINGS INC,2015-04-28,april,furnished,financial,inc,release,press,results,commissionfile,first,jurisdictionof
1603,1062449,BUFFALO WILD WINGS INC,2015-05-11,vote,meeting,shareholders,proposal,based,approval,matters,annual,directors,company
1604,1062449,BUFFALO WILD WINGS INC,2015-06-11,our,looking,ability,llc,forward,proposed,we,acquisition,new,statements
1638,1077771,UMPQUA HOLDINGS CORP,2015-04-15,investor,april,holdings,corporation,quarter,first,release,financial,press,results
1639,1077771,UMPQUA HOLDINGS CORP,2015-04-17,corporation,proposal,votes,holdings,directors,april,meeting,for,officers,annual
1640,1077771,UMPQUA HOLDINGS CORP,2015-04-22,credit,holdings,chief,mr,press,officers,corporation,officer,april,certain
1641,1077771,UMPQUA HOLDINGS CORP,2015-05-11,may,investor,holdings,presentation,conference,at,corporation,relations,financial,description
1642,1077771,UMPQUA HOLDINGS CORP,2015-06-05,certain,employment,holdings,officers,directors,services,corporation,june,bank,compensatory
1643,1077771,UMPQUA HOLDINGS CORP,2015-06-15,quarterly,june,corporation,dividend,holdings,payable,approved,july,shareholders,announced
1644,1077771,UMPQUA HOLDINGS CORP,2015-06-19,federal,results,are,investor,corporation,holdings,shall,our,relations,companies
1645,1077771,UMPQUA HOLDINGS CORP,2015-06-29,conference,call,holdings,quarterly,earnings,corporation,june,announcing,press,release
1673,1128928,FLOWERS FOODS INC,2015-05-28,inc,press,operations,georgia,release,condition,financial,may,results,description
1674,1128928,FLOWERS FOODS INC,2015-06-10,votes,restated,june,broker,amended,vote,through,against,proposal,company
1691,1143068,GREAT PLAINS ENERGY INC,2015-05-07,release,lori,press,may,city,furnished,energy,information,missouri,operations
1692,1143068,GREAT PLAINS ENERGY INC,2015-06-01,city,lori,energy,missouri,investor,information,furnished,presentation,not,relating
1693,1143068,GREAT PLAINS ENERGY INC,2015-06-18,city,lori,energy,missouri,investor,information,furnished,presentation,not,relating
1727,1179929,MOLINA HEALTHCARE INC,2015-05-07,may,press,inc,release,first,healthcare,march,results,ended,quarter
1728,1179929,MOLINA HEALTHCARE INC,2015-05-13,follows,stockholders,votes,broker,healthcare,for,class,proposal,company,meeting
1729,1179929,MOLINA HEALTHCARE INC,2015-05-15,healthcare,inc,may,businesses,definitive,assets,agreement,certain,closing,transaction
1730,1179929,MOLINA HEALTHCARE INC,2015-06-01,press,release,healthcare,year,fiscal,inc,june,issued,for,stock
1731,1179929,MOLINA HEALTHCARE INC,2015-06-01,june,offering,common,healthcare,stock,inc,release,press,shares,regarding
1732,1179929,MOLINA HEALTHCARE INC,2015-06-05,company,agreement,common,june,stock,healthcare,offering,inc,public,shares
1733,1179929,MOLINA HEALTHCARE INC,2015-06-16,company,agreement,rate,bank,credit,ratio,interest,facility,time,healthcare
1750,1265888,NEUSTAR INC,2015-04-03,april,company,non,notice,inc,shall,officer,year,with,deemed
1751,1265888,NEUSTAR INC,2015-04-07,terms,agreement,april,notice,with,that,company,an,it,not
1752,1265888,NEUSTAR INC,2015-04-08,notice,termination,amendment,april,llc,at,services,that,price,prior
1753,1265888,NEUSTAR INC,2015-04-29,call,april,financial,release,press,reference,first,results,shall,exhibit
1754,1265888,NEUSTAR INC,2015-06-02,stockholders,against,inc,votes,broker,for,non,approval,restated,vote
1761,1287865,MEDICAL PROPERTIES TRUST INC,2015-05-05,price,partnership,operating,million,purchase,approximately,closing,subsidiaries,steven,properties
1762,1287865,MEDICAL PROPERTIES TRUST INC,2015-05-07,quarter,ended,march,gaap,trust,properties,operations,financial,million,measures
1763,1287865,MEDICAL PROPERTIES TRUST INC,2015-05-14,steven,broker,proposal,votes,against,for,non,properties,were,forth
1764,1287865,MEDICAL PROPERTIES TRUST INC,2015-06-26,amendments,trust,amendment,properties,second,company,board,directors,voting,inc
1801,18349,SYNOVUS FINANCIAL CORP,2015-04-21,slide,information,april,supplemental,presentation,press,release,exhibit,into,corp
1802,18349,SYNOVUS FINANCIAL CORP,2015-04-29,broker,proposal,votes,april,was,vote,against,shareholders,for,corp
1803,18349,SYNOVUS FINANCIAL CORP,2015-06-19,contained,june,into,relations,investor,otherwise,corp,website,georgia,information
1819,310142,SENSIENT TECHNOLOGIES CORP,2015-04-21,march,corporation,john,april,technologies,press,release,exhibit,ended,quarter
1820,310142,SENSIENT TECHNOLOGIES CORP,2015-04-28,shareholders,shares,directors,technologies,broker,april,were,votes,company,board
1821,310142,SENSIENT TECHNOLOGIES CORP,2015-05-07,technologies,john,corporation,may,press,exhibit,release,furnished,current,former
1826,33619,ESTERLINE TECHNOLOGIES CORP,2015-04-08,company,notes,subsidiaries,april,certain,credit,due,subsidiary,restricted,debt
1827,33619,ESTERLINE TECHNOLOGIES CORP,2015-04-13,loan,credit,term,facility,amendment,agreement,thereto,technologies,agent,amount
1828,33619,ESTERLINE TECHNOLOGIES CORP,2015-04-15,non,technologies,certain,business,financial,operations,george,fiscal,april,exhibit
1829,33619,ESTERLINE TECHNOLOGIES CORP,2015-06-04,corporation,june,release,supplemental,financial,information,press,results,technologies,dated
1830,33619,ESTERLINE TECHNOLOGIES CORP,2015-06-18,technologies,june,corporation,notes,issued,press,development,george,dated,washington
1839,350797,EATON VANCE CORP,2015-05-20,release,international,corp,table,operations,exhibit,dated,index,financial,may
1853,355811,GENTEX CORP,2015-04-22,release,shall,april,financial,opre,corporation,steven,deemed,exhibit,attached
1855,355811,GENTEX CORP,2015-05-21,regulation,exhibits,may,corporation,fd,presentation,shareholder,financial,thereunto,former
1856,355811,GENTEX CORP,2015-05-27,broker,votes,shareholders,against,second,amendment,for,non,proposal,company
1857,355811,GENTEX CORP,2015-06-22,with,all,agreement,october,june,mr,receive,company,will,stock
1886,46195,BANK OF HAWAII CORP,2015-04-20,release,quarter,results,operations,furnished,april,bank,mark,financial,corporation
1887,46195,BANK OF HAWAII CORP,2015-04-28,against,election,mark,for,bank,april,non,vote,votes,elected
1888,46195,BANK OF HAWAII CORP,2015-06-26,federal,june,bank,board,shall,mark,website,corporation,www,results
1910,52827,RAYONIER INC,2015-05-06,table,financial,inc,press,herewith,exhibit,release,may,opre,furnished
1911,52827,RAYONIER INC,2015-05-07,prior,period,opre,year,table,for,per,mark,inc,press
1912,52827,RAYONIER INC,2015-05-19,mark,table,annual,meeting,votes,vote,broker,opre,security,named
1914,52827,RAYONIER INC,2015-06-16,june,table,release,exhibit,press,mark,fd,opre,time,inc
1927,67215,DYCOM INDUSTRIES INC,2015-04-27,rate,amendment,margin,agreement,bank,credit,agent,ratio,administrative,plus
1928,67215,DYCOM INDUSTRIES INC,2015-05-20,these,non,may,company,not,gaap,measures,revenue,materials,forward
1929,67215,DYCOM INDUSTRIES INC,2015-05-22,call,measures,may,these,non,gaap,company,conference,revenue,webcast
1930,67215,DYCOM INDUSTRIES INC,2015-06-04,non,company,measures,gaap,these,materials,looking,not,forward,presentation
1946,70145,NATIONAL FUEL GAS CO,2015-04-30,gaap,presentation,measures,changes,looking,company,for,forward,costs,effect
1947,70145,NATIONAL FUEL GAS CO,2015-05-01,for,company,gaap,changes,looking,measures,forward,costs,national,effect
1948,70145,NATIONAL FUEL GAS CO,2015-06-12,director,mr,employee,new,board,directors,company,paid,june,national
1949,70145,NATIONAL FUEL GAS CO,2015-06-25,june,llc,llp,notes,included,note,national,ratio,company,therein
1971,701811,MENTOR GRAPHICS CORP,2015-04-09,april,officers,corporation,his,certain,may,continue,directors,resources,through
1972,701811,MENTOR GRAPHICS CORP,2015-05-22,corporation,may,quarter,second,results,former,change,first,full,company
1973,701811,MENTOR GRAPHICS CORP,2015-06-22,proposal,voting,vote,june,election,votes,follows,directors,for,were
1983,706688,AARON'S INC,2015-04-24,april,release,company,accordance,financial,earnings,net,measures,gaap,press
1984,706688,AARON'S INC,2015-05-08,equity,plan,incentive,meeting,proposal,annual,votes,company,shareholders,georgia
2008,720672,STIFEL FINANCIAL CORP,2015-05-11,corp,james,through,exhibit,call,may,financial,conference,shall,will
2009,720672,STIFEL FINANCIAL CORP,2015-05-12,looking,statements,may,investor,measures,gaap,presentation,are,company,forward
2010,720672,STIFEL FINANCIAL CORP,2015-06-03,company,forward,looking,statements,corp,time,are,made,june,james
2011,720672,STIFEL FINANCIAL CORP,2015-06-08,looking,june,forward,statements,call,these,events,factors,presentation,laws
2012,720672,STIFEL FINANCIAL CORP,2015-06-10,june,forward,looking,transaction,stock,company,acquisition,common,statements,closing
2013,720672,STIFEL FINANCIAL CORP,2015-06-16,exhibit,june,registration,llp,prospectus,stockholders,company,corp,statement,connection
2035,73088,NORTHWESTERN CORP,2015-04-23,investor,call,meeting,april,presentation,annual,company,webcast,will,at
2036,73088,NORTHWESTERN CORP,2015-04-27,slide,presentation,april,document,company,corporate,amended,herewith,will,corporation
2037,73088,NORTHWESTERN CORP,2015-04-29,annual,follows,vote,votes,registered,were,meeting,directors,stockholders,april
2038,73088,NORTHWESTERN CORP,2015-05-18,corporate,corporation,they,amended,may,document,company,presentation,will,slide
2039,73088,NORTHWESTERN CORP,2015-06-29,registration,supplemental,company,york,bank,june,between,were,million,new
2044,73756,OCEANEERING INTERNATIONAL INC,2015-04-23,international,april,exhibit,press,release,inc,regarding,furnished,dividend,therein
2045,73756,OCEANEERING INTERNATIONAL INC,2015-05-11,against,non,international,broker,matters,votes,voting,director,class,forth
2046,73756,OCEANEERING INTERNATIONAL INC,2015-05-29,will,looking,our,continue,that,forward,capital,for,we,are
2047,73756,OCEANEERING INTERNATIONAL INC,2015-06-30,that,looking,continue,capital,are,will,forward,our,future,we
2076,74303,OLIN CORP,2015-04-16,at,george,conference,senior,olin,april,investors,opre,exhibit,will
2077,74303,OLIN CORP,2015-04-23,announcing,opre,george,april,olin,dividend,exhibit,press,release,dated
2078,74303,OLIN CORP,2015-04-27,opre,exhibit,april,olin,press,george,release,quarter,first,corporation
2079,74303,OLIN CORP,2015-04-29,meeting,proposal,three,olin,april,approval,vote,george,for,were
2080,74303,OLIN CORP,2015-04-29,olin,solicitation,agent,sec,agreement,administrative,proxy,credit,transaction,offer
2081,74303,OLIN CORP,2015-06-16,proxy,forward,sec,olin,transaction,looking,products,proposed,solicitation,statements
2082,74303,OLIN CORP,2015-06-24,proposed,olin,sec,transaction,proxy,solicitation,products,looking,forward,statements
2083,74303,OLIN CORP,2015-06-29,amendment,olin,thereto,credit,agreement,agent,administrative,june,sec,association
2112,7536,ARROW ELECTRONICS INC,2015-04-01,march,press,release,york,inc,dated,acquisition,subsidiary,exhibit,former
2113,7536,ARROW ELECTRONICS INC,2015-04-30,april,press,release,first,hereto,issued,exhibit,earnings,inc,quarter
2114,7536,ARROW ELECTRONICS INC,2015-05-27,was,were,shareholders,proposal,shares,broker,meeting,votes,voting,vote
2122,799729,PAREXEL INTERNATIONAL CORP,2015-04-14,april,international,corporation,transaction,obligations,bank,former,acquisition,definitive,announced
2123,799729,PAREXEL INTERNATIONAL CORP,2015-04-30,exhibit,corporation,deemed,april,international,financial,bank,shall,for,press
2124,799729,PAREXEL INTERNATIONAL CORP,2015-06-23,fiscal,approximately,company,international,june,million,costs,tax,result,year
2133,861361,B/E AEROSPACE INC,2015-04-23,press,announcing,quarter,release,ended,results,april,inc,march,financial
2158,861459,GRANITE CONSTRUCTION INC,2015-05-05,measures,gaap,may,company,ebitda,non,financial,used,provided,companies
2159,861459,GRANITE CONSTRUCTION INC,2015-06-09,incentive,plan,company,elected,annual,term,vote,votes,non,were
2179,887936,FTI CONSULTING INC,2015-05-04,adjusted,ebitda,income,operating,measures,total,gaap,loss,consideration,special
2180,887936,FTI CONSULTING INC,2015-05-05,ebitda,adjusted,income,operating,loss,measures,special,consideration,gaap,total
2181,887936,FTI CONSULTING INC,2015-05-12,adjusted,income,operating,ebitda,gaap,loss,total,measures,margin,presentation
2182,887936,FTI CONSULTING INC,2015-06-05,meeting,proposal,votes,annual,follows,stockholders,june,against,for,compensation
2183,887936,FTI CONSULTING INC,2015-06-30,party,administrative,june,time,credit,agreement,agent,thereto,among,security
